GENE	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample09	Sample10
MARCH3	0.8194	0.4094	0.6772	0.4768	0.5342	0.4543	0.1861	0.4244	0.3462	0.3279
MARCH4	0.1014	0.2085	0.2069	0.1125	0.1538	0.1372	0.1215	0.1993	0.1501	0.1443
MARCH5	2.8810	2.5816	2.6190	2.2814	2.1114	2.7891	2.5692	2.3150	2.6192	2.7449
SEPT3	1.8173	6.8859	6.8789	0.3128	2.0238	3.4964	1.8920	5.2893	3.5359	3.4903
SEPT4	8.5794	22.7056	23.2644	2.3020	7.3282	12.8172	7.0421	17.3988	12.4224	12.4394
SEPT5	1.5182	3.0543	3.3443	0.4970	1.2207	1.7809	0.8352	2.4146	1.6649	1.6404
SEPT9	4.4331	5.4049	5.1891	5.7346	6.0928	4.8502	5.3746	5.8507	5.2277	4.9653
SEPT12	0.0028	0.0028	0.0000	0.0028	0.0000	0.0042	0.0070	0.0000	0.0028	0.0014
UGT1A8	0.0354	0.0708	0.0708	0.1770	0.2124	0.0354	0.0885	0.1416	0.0708	0.0354
UHRF2	2.7921	2.9866	2.8932	2.7901	2.7712	3.0050	3.0071	2.9684	3.0790	3.2302
ULBP1	0.0769	0.1531	0.1471	0.0346	0.0514	0.1077	0.0806	0.1137	0.1019	0.1050
UNC13C	1.5537	5.0498	4.9444	0.3840	1.4433	2.7737	1.7111	3.7783	2.7216	2.6731
UNC5A	0.1226	0.4494	0.4534	0.0050	0.1166	0.2292	0.1131	0.3388	0.2282	0.2302
UNC84A	1.5396	1.3524	1.3990	1.4850	1.4512	1.4425	1.4190	1.3780	1.4184	1.4279
USP28	13.3292	5.3825	9.2247	7.5320	7.4259	7.3626	3.6191	5.2794	5.2883	5.0659
USP30	0.8692	1.0998	0.9900	0.7412	0.7004	1.0293	1.0284	0.9100	0.9870	0.9927
VCX3B	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
WBSCR16	2.9689	2.3118	2.1986	2.3841	1.9282	2.7737	2.8131	1.8902	2.4370	2.3767
A1CF	1.6963	1.8769	0.5369	2.5721	1.4363	2.3376	4.0218	0.9638	1.8667	0.9469
A2M	127.9464	76.2172	98.3416	86.4715	82.3193	100.0113	72.3611	79.8207	93.3766	109.6959
A2ML1	0.0703	0.1572	0.1644	0.0370	0.0725	0.0952	0.0576	0.1323	0.0970	0.1000
A4GNT	0.0335	0.0335	0.0021	0.0335	0.0021	0.0513	0.0817	0.0042	0.0377	0.0262
WDR16	0.0709	0.2391	0.2297	0.0261	0.0745	0.1345	0.0907	0.1834	0.1361	0.1362
AAAS	0.8240	0.8404	0.8152	0.9000	0.8928	0.8246	0.8844	0.8424	0.8196	0.7658
AACS	2.3353	3.1873	3.0049	2.5661	2.7469	2.8996	2.9015	3.2268	3.1559	3.4033
AADAC	0.1041	0.1514	0.1630	0.3687	0.4392	0.0913	0.1831	0.2970	0.1606	0.0993
AADACL3	0.0259	0.0259	0.0259	0.0259	0.0259	0.0518	0.0389	0.0518	0.0777	0.1295
AAK1	1.8186	1.9912	1.9966	1.2454	1.2290	1.8429	1.5969	1.5912	1.6564	1.6377
AANAT	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
AARSD1	1.4234	0.6776	1.1514	0.8569	0.9567	0.7568	0.3087	0.7173	0.5618	0.4992
AASDHPPT	4.3855	6.1427	5.9267	2.2805	2.4165	4.9416	4.0564	4.2684	4.2285	3.9621
AASS	9.7760	5.3954	5.3154	5.7827	3.4035	7.6775	7.4594	2.7413	5.2812	4.3041
AATF	13.6931	14.5149	14.3911	12.3250	12.3068	14.0978	13.4924	13.5127	13.7681	13.9281
ABAT	6.5729	11.4900	8.6294	4.3051	2.9868	9.4846	10.5431	6.4458	7.7032	6.0060
ABCA2	0.7914	2.0845	2.0447	0.4518	0.8571	1.2768	0.9035	1.7044	1.3195	1.3615
ABCA3	0.4015	0.9864	0.9592	0.1866	0.3513	0.6080	0.4336	0.7499	0.5862	0.5700
ABCA4	0.1448	0.3055	0.2211	0.1051	0.0764	0.2412	0.2771	0.1767	0.2039	0.1619
ABCA7	0.0875	0.1438	0.1378	0.1489	0.1740	0.1125	0.1290	0.1716	0.1374	0.1347
ABCB4	0.6153	0.3003	0.4623	0.3966	0.4038	0.3773	0.2218	0.3161	0.3067	0.3086
WDR19	1.3387	1.4150	1.2776	1.0901	0.9438	1.4852	1.4851	1.1672	1.4002	1.4534
ABCB6	1.1414	1.4123	1.3971	0.8769	0.9252	1.2994	1.1273	1.2597	1.2983	1.4243
ABCB7	3.7889	3.2642	3.3140	3.1565	2.9072	3.4700	3.3441	2.8730	3.1274	2.9762
ABCB8	0.0915	0.1375	0.1067	0.1065	0.0957	0.1206	0.1486	0.1084	0.1129	0.0919
ABCB9	0.0332	0.0440	0.0440	0.0348	0.0392	0.0332	0.0334	0.0400	0.0312	0.0236
ABCC1	0.8624	0.8243	0.8829	0.9648	1.0245	0.8734	0.8355	1.0038	0.9833	1.1117
