hgnc_symbol	adipose	colon	heart	hypothalamus	kidney
MARCH3	0.115	0.323	1.429	0.431	0.09
MARCH4	0.083	0.162	0.054	0.375	0.062
MARCH5	2.881	1.539	3.153	2.693	2.966
SEPT3	0.095	0.519	0.092	16.845	0.127
SEPT4	1.861	1.363	4.983	53.277	2.189
SEPT5	0.083	0.343	1.518	7.03	0.068
SEPT9	4.636	7.284	3.533	5.522	4.612
SEPT12	0	0	0	0	0.014
UGT1A8	0	0.354	0	0	0
UHRF2	3.58	2.663	2.518	3.118	2.985
ULBP1	0.058	0.008	0.047	0.314	0.077
UNC13C	0.298	0.272	0.282	11.939	0.809
UNC5A	0.01	0	0.02	1.116	0
UNC84A	1.483	1.417	1.687	1.153	1.454
USP28	2.703	3.675	23.166	3.174	3.955
USP30	0.91	0.548	0.666	1.474	1.215
VCX3B	0	0	0	0	0
WBSCR16	2.347	1.438	3.293	1.721	3.859
A1CF	0	2.329	0.169	0.051	6.869
A2M	139.028	44.991	180.494	53.231	69.872
A2ML1	0.042	0.04	0.05	0.343	0.014
A4GNT	0.021	0	0	0	0.157
WDR16	0.037	0.026	0	0.552	0.047
AAAS	0.68	0.98	0.792	0.784	0.918
AACS	3.848	2.749	1.561	4.005	2.473
AADAC	0.046	0.705	0.058	0	0
AADACL3	0.259	0	0	0	0
AAK1	1.214	0.726	1.916	2.888	1.889
AANAT	0	0	0	0	0
AARSD1	0.077	0.634	2.515	0.656	0.146
AASDHPPT	1.527	0.566	4.072	11.098	5.152
AASS	2.115	0.508	13.093	2.686	13.493
AATF	13.326	10.954	13.479	17.06	14.098
ABAT	0.316	0.925	2.376	19.25	16.679
ABCA2	0.68	0.476	0.265	4.505	0.464
ABCA3	0.15	0.14	0.186	2.151	0.322
ABCA4	0.02	0.035	0.003	0.528	0.425
ABCA7	0.135	0.226	0.041	0.167	0.071
ABCB4	0.24	0.262	1.009	0.208	0.199
WDR19	1.527	0.66	1.175	1.601	1.862
ABCB6	1.483	0.614	1.016	2.053	1.092
ABCB7	2.507	2.456	4.319	3.191	4.07
ABCB8	0.047	0.11	0.04	0.17	0.194
ABCB9	0	0.044	0.032	0.064	0.032
ABCC1	1.459	1.067	0.86	0.664	0.567
ABCC11	0.016	0.006	0	0.091	0.024
ABCC13	0	0.228	0.007	0.013	0.118
ABCC2	0.145	0.209	0.148	0	5.965
ABCC5	5.006	6.647	5.008	6.126	4.492
ABCF1	12.492	10.007	16.545	14.993	14.557
WDR24	0.046	0.138	0.165	0.323	0.211
ABCG1	1.342	2.616	3.002	4.117	1.16
ABCG2	0.456	0.348	0.135	0.787	0.301
ABCG8	0	0.01	0.056	0.014	0.021
ABHD11	0.135	0.926	0.353	0.324	0.894
ABHD12	1.961	1.556	2.115	6.09	2.471
ABHD13	0.603	0.281	1.431	1.236	1.364
ABHD14B	5.848	3.312	1.415	0.889	10.562
ABHD15	3.088	1.235	0.695	0.407	1.294
ABHD2	4.278	4.612	10.165	12.906	5.615
ABHD3	0.925	1.532	0.479	0.826	0.961
ABHD5	2.531	0.634	2.535	1.38	1.122
ABHD8	0.141	0.295	0.098	0.816	0.142
ABI1	3.968	3.499	3.079	9.504	3.815
ABI3	0.296	0.28	0.345	0.755	0.343
ABI3BP	14.26	3.714	11.999	2.719	2.922
ABL1	5.12	7.787	5.237	4.181	3.783
ABL2	1.775	1.04	1.549	2.368	1.358
ABLIM1	12.415	6.077	47.42	10.702	12.877
ABLIM2	0.282	0.432	0.968	3.298	0.383
ABR	3.355	11.242	6.92	31.087	2.161
ABRA	0	0.056	11.304	0.028	0.189
ABT1	0.831	0.468	0.901	0.672	0.855
ABTB1	0.247	0.133	0.173	0.333	0.067
ACAA1	9.085	5.878	9.382	6.422	33.085
ACACA	3.304	1.357	1.386	4.716	1.685
ACAD11	2.458	0.918	1.547	1.311	8.149
ACADSB	3.573	2.008	8.72	6.333	22.751
ACADVL	7.09	4.78	7.844	2.234	7.201
